大分類,小分類,產品編號,中文品名,日文品名,英文品名/規格,單位,季節/備註,
乾貨/調味,鹽/糖,60090112,日本塩,,Japanese salt (1kg),PK,Source: Dry List,
乾貨/調味,鹽/糖,60090001,日本味鹽,AJI SHIO,Japanese seasoned salt (110g),PK,Source: Dry List,
乾貨/調味,鹽/糖,60090153,伯方粗塩,HAKATA ARASHIO,Hakata course salt (1kg),PK,Source: Dry List,
乾貨/調味,鹽/糖,60090102,伯方焼塩,HAKATA YAKISHIO,Hakata baked salt (1kg),PK,Source: Dry List,
乾貨/調味,鹽/糖,60090135,赤穂天塩,AKOU NO AMASHIO,Akou salt (1kg),PK,Source: Dry List,
乾貨/調味,鹽/糖,60090133,柚子塩,YUZU SHIO,Citrus salt (300g),PK,Source: Dry List,
乾貨/調味,鹽/糖,60090090,抹茶塩,,Maccha salt (300g),PK,Source: Dry List,
乾貨/調味,鹽/糖,60090005,上白糖,JYOUHAKUTOU,White sugar (1kg),PK,Source: Dry List,
乾貨/調味,鹽/糖,60090007,咖啡糖,ZARAME CHUSOUTOU,Coffee sugar (1kg),PK,Source: Dry List,
乾貨/調味,鹽/糖,60090006,三溫糖,KACHIWARI KUROTOU,Brown sugar (1kg),PK,Source: Dry List,
乾貨/調味,鹽/糖,,日本沖縄黒糖粒 (300g),,Okinawa black Rock sugar (300G),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60090118,紫菜醬,NORI TSUKUDANI,Seaweed boiled in sweetened soy sauce (180g),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60100017,QP210蛋黃醬,,QP 210 Mayonnaise (1kg),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60090043,豬扒汁（Bulldog）,TONKATSU SAUCE,Pork cutlet sauce (1.8L),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60090065,融醇中辛咖哩,TOROKERU,Curry flake (1kg),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60090113,咖喱磚 (S & B),,Dinner curry brick (1kg),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60090295,照焼汁（日本食研）,,Teriyaki sauce (2kg),PK,Source: Dry List,
乾貨/調味,調味/醬汁,40040010,辛辣明太子魚籽醬,MENTAIKO PASTE,Cod roe paste (500g),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60090085,柚子之粋,YUZU NO SUI,Citrus essence (300ml),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60090030,意粉牛肉汁 (Heinz),,Heinz demi glace pasta sauce (3kg),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60090037,燒鰻魚醬（日本食研）,UNAGI TARE,Grill eel sauce (2kg),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60100004,和風沙律汁（日本食研）,,Japanese style dressing (1L),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60100006,芥辣沙律油,,Wasabi soy sauce dressing (1L),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60100010,蒜香蕃茄沙律汁 (Mizkan),,Italian Paccio Tomato garlic dressing (1L),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60100012,香味和風沙律汁 (QP),,Fragrant Japanese style dressing (1L),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60100013,香味柚子沙律汁 (QP),,Fragrant Citrus dressing (1L),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60100030,丘比焙煎芝麻沙律汁 (QP),,Roasted sesame dressing (1L),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60100001,青紫蘇沙律油（理研）,,Non-oil green shiso dressing (1L),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60100067,凱撒沙律汁 (QP),,Caesar dressing (1.5L),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60100042,博多豬骨拉麵湯 (Ebara),,Hakata pork ramen soup base (1kg),PK,Source: Dry List,
乾貨/調味,調味/醬汁,60100043,雞骨豉油拉麵汁 (Ebara),,Chicken soy sauce ramen soup base (2kg),PK,Source: Dry List,
急凍/冷藏,加工/小食,60120089,燒鱈魚卷,,Roasted cod fish roll (35g),PK,Source: Dry List,
急凍/冷藏,加工/小食,40030053,板白魚片,SHIRO KAMABOKO,Boiled fish cake white (130g),PK,Source: Dry List,
急凍/冷藏,加工/小食,40030054,板紅魚片,AKA KAMABOKO,Boiled fish cake red (130g),PK,Source: Dry List,
急凍/冷藏,加工/小食,40030057,燒板魚片,,Roasted fish cake,PK,Source: Dry List,
急凍/冷藏,加工/小食,60120106,蟹麵豉豆腐,,Crab miso bean curd (210g),PK,Source: Dry List,
急凍/冷藏,加工/小食,20040009,海膽豆腐,,Sea urchin bean curd (210g),PK,Source: Dry List,
急凍/冷藏,加工/小食,60120256,鮟鱇魚肝豆腐,,Monk fish liver bean curd (210g),PK,Source: Dry List,
急凍/冷藏,加工/小食,20040012,海膽醬,NERI URI,Sea urchin paste (80g),PK,Source: Dry List,
急凍/冷藏,加工/小食,,海膽醬,NERI URI,Sea urchin paste (1kg),PK,Source: Dry List,
急凍/冷藏,加工/小食,10060013,吞拿魚酒盗,MAGURO SHUTO,Tuna internal organs pickle,PK,Source: Dry List,
急凍/冷藏,加工/小食,10060017,鰹魚酒盗,KATSUO SHUTO,Bonito internal organs pickle (500g),PK,Source: Dry List,
急凍/冷藏,加工/小食,40010036,七味魚翅乾,EIHIRE,Dried mottled skate fin (500g),PK,Source: Dry List,
急凍/冷藏,加工/小食,60120084,山椒幼銀魚,SANSHO CHIRIMEN JAKO,Dried baby sardine w/sansho (500g),PK,Source: Dry List,
急凍/冷藏,加工/小食,60120076,三文魚乾,SAKE TOBA,Dried salmon (~500g),PK,Source: Dry List,
急凍/冷藏,加工/小食,60120025,桜花蝦乾（台湾）,,Dried sakura shrimp Taiwan (500g),PK,Source: Dry List,
急凍/冷藏,加工/小食,40030050,魷魚鹽辛,IKA SHIOKARA,Squid pickle in salt (1kg),PK,Source: Dry List,
急凍/冷藏,加工/小食,60120120,梅水晶,UME SUISHO,Shark cartilage w/ plum mix (700g),PK,Source: Dry List,
急凍/冷藏,加工/小食,60120006,幼銀魚,CHIRIMEN JAKO,Dried baby sardine (1kg),PK,Source: Dry List,
急凍/冷藏,加工/小食,40070003,餃子,,Dumpling (50pc),PK,Source: Dry List,
急凍/冷藏,加工/小食,40070088,煎餃子,,Fry dumpling (30pc),PK,Source: Dry List,
急凍/冷藏,加工/小食,40070050,牛肉薯餅,,Beef croquette (750g),PK,Source: Dry List,
急凍/冷藏,加工/小食,40070010,雞肉軟骨棒,TSUKUNE,Cartilage on skewer (50 pc),PK,Source: Dry List,
雜項,雜項,60120015,黒薯糕,,Black konjac (250g),PK,Source: Dry List,
雜項,雜項,60120087,白薯糕,,White konjac (250g),PK,Source: Dry List,
雜項,雜項,60120027,水浸粉絲,SHIRATAKI,Konjac strings (200g),PK,Source: Dry List,
雜項,雜項,40070014,油揚（炸豆腐）,ABURAAGE,Fry bean curd (3pc),PK,Source: Dry List,
雜項,雜項,40070062,味附水雲（三杯醋）,,Mozuku seaweed in vinegar (3pk),PK,Source: Dry List,
雜項,雜項,60120021,罐裝蘑菇（滑子菇）,NAMEKO,Scotch mushroom canned (400g),PK,Source: Dry List,
雜項,雜項,40070023,餃子皮,,Dumpling skin (24pc),PK,Source: Dry List,
雜項,雜項,40070002,急凍枝豆,EDAMAME,Frozen green soybean (500g),PK,Source: Dry List,
雜項,雜項,60120002,紅豆（罐庄）,,Red bean canned (430g),PK,Source: Dry List,
雜項,雜項,60120016,高野豆腐,TAKANO TOFU,Dried bean curd (16.4g),PK,Source: Dry List,
雜項,雜項,40070049,急凍六方里芋,SATOIMO,Frozen dice-cut taro (500g),PK,Source: Dry List,
雜項,雜項,60120069,絹豆腐,KINU TOFU,Soft bean curd (400g),PK,Source: Dry List,
雜項,雜項,60120079,木棉豆腐,MOMEN TOFU,Hard bean curd (400g),PK,Source: Dry List,
雜項,雜項,10060007,厚揚（炸豆腐）,ATSUAGE,Deep-fried bean curd (6pc),PK,Source: Dry List,
雜項,雜項,60120060,蜜柑（罐庄）,,Mandarin orange canned (435g),PK,Source: Dry List,
雜項,雜項,40070095,無皮枝豆,MUKI EDAMAME,Frozen green soybean w/o skin (500g),PK,Source: Dry List,
雜項,雜項,60120001,味附乾瓢,AJITSUKE KANPYO,Seasoned gourd (1kg),PK,Source: Dry List,
雜項,雜項,60120116,罐裝鵪鶉蛋,UZURA TAMAGO,Quail egg canned (820g),PK,Source: Dry List,
雜項,雜項,40070208,芝士年糕 (40g),,Rice cake w/ cheese & potato (20pc),PK,Source: Dry List,
雜項,雜項,40070015,味附油揚（三角）,,Seasoned fry bean curd triangular (60pc),PK,Source: Dry List,
雜項,雜項,40070102,南瓜薯餅,,Pumpkin croquette (750g),PK,Source: Dry List,
雜項,雜項,60120037,山桃蜜糖漬,YAMAMOMO,Bayberry w/ syrup (500g),PK,Source: Dry List,
雜項,雜項,40070077,急凍一口甜薯(10g),HITOKUCHI SATSUMAIMO,Mouthful sweet potato (50pc),PK,Source: Dry List,
雜項,雜項,60120031,京之豆乳,,Kyo soy milk (1L),PK,Source: Dry List,
雜項,雜項,40070004,大福皮,GYUHI,Crepe (10pc),PK,Source: Dry List,
雜項,雜項,20010271,味付竹筍,,Seasoned bamboo shoot canned (2.95kg),PK,Source: Dry List,
雜項,雜項,60120014,千切大根,KIRIBOSHI DAIKON,Dried white radish cut (500g),PK,Source: Dry List,
雜項,雜項,60120018,栗甘露煮,KURI KANRONI,Chestnut cooked w/ honeydew (1kg),PK,Source: Dry List,
雜項,雜項,60120044,黒豆蜜煮,KUROMAME,Black bean cooked w/ syrup (1kg),PK,Source: Dry List,
雜項,雜項,60120043,湯葉,YUBA TORO,Bean curd skin (500g),PK,Source: Dry List,
雜項,雜項,,味付乾瓢,,Aji tsuki gourd,PK,Source: Dry List,
雜項,雜項,60120011,乾瓢（無味）,,Dried gourd (1kg),PK,Source: Dry List,
雜項,廚具/清潔,60090062,岩鹽粉,,Rock salt fine (1KG),PK,Source: Dry List,
雜項,廚具/清潔,,Kitchen Gard 廚房消毒劑 1L　（填充）,,Kitchen Sterilizer 1L Refill,PK,Source: Dry List,
雜項,廚具/清潔,,Kitchen Gard 廚房消毒劑 1L　(有噴咀),,Kitchen Sterilizer 1L With Spray,PK,Source: Dry List,
雜項,廚具/清潔,70040014,固形燃料,,Solid fuel (40pc),PK,Source: Dry List,
雜項,廚具/清潔,70010042,平串 (15cm),,Flat bamboo stick (100pc),PK,Source: Dry List,
雜項,廚具/清潔,,花結串 (9cm),,bamboo stick 9cm (100pc),PK,Source: Dry List,
雜項,廚具/清潔,70010068,銀杏串,,Ginkgo stick,PK,Source: Dry List,
雜項,廚具/清潔,70010007,天婦羅紙 (100PC),,Tempura paper (100pc),PK,Source: Dry List,
雜項,廚具/清潔,70010003,吸水紙,,Fish paper (2roll/pk),PK,Source: Dry List,
雜項,茶類,,宇治之露玄米茶 (200g),GENMAI CHA,,200g,PK,Source: Dry List
雜項,茶類,,香焙茶（宇治乃露）200G,HOUJICHA (UJINOTSUYU),,200g,PK,Source: Dry List
雜項,茶類,,小山園 綠茶 200g,,Green tea (Koyamaen),200g,PK,Source: Dry List
雜項,茶類,,粉茶 (綱島園綠茶粉),KONA CHA,,400g,PK,Source: Dry List
米/穀類,日本米,,越光米（魚沼）,Uonuma Koshi Hikari,MIDDLE-HIGH Stickiness,KG,Source: Rice List,
米/穀類,日本米,,越光米（新潟）香港精米,Niigata Koshi Hikari,MIDDLE-HIGH Stickiness,KG,Source: Rice List,
米/穀類,日本米,,山形生抜米,Yamagata haenuki,MIDDLE Stickiness,KG,Source: Rice List,
米/穀類,日本米,,越息吹,Niigata Koshi Ibuki,LOW Stickiness,KG,Source: Rice List,
米/穀類,日本米,,久保田新鮮米(混合米),KUBOTA MIX RICE,LOW Stickiness,KG,Source: Rice List,
急凍/冷藏,和牛/豚,,A5 西冷,A5 SIRLOIN,,KG,Source: Beef List,
急凍/冷藏,和牛/豚,,A5肉眼,A5 RIB EYE,,KG,Source: Beef List,
急凍/冷藏,和牛/豚,,A5牛柳,A5 TENDERLION,,KG,Source: Beef List,
急凍/冷藏,和牛/豚,,A4 西冷,A4 SIRLOIN,,KG,Source: Beef List,
急凍/冷藏,和牛/豚,,A4肉眼,A4 RIB EYE,,KG,Source: Beef List,
急凍/冷藏,和牛/豚,,A4牛柳,A4 TENDERLION,,KG,Source: Beef List,
急凍/冷藏,和牛/豚,,北海道豚腩肉,MIYAZAKI PORK BELLY,,KG,Source: Beef List,
急凍/冷藏,和牛/豚,,北海道豚扒,MIYAZAKI PORK STRIPLOIN,,KG,Source: Beef List,
